year,fips,estabs,emp,tot_wages,avg_annual_pay
1983,17047,154,2376,34002021,14311
1983,17049,676,10220,147555557,14438
1983,17051,392,3695,47736456,12919
1983,17053,324,3076,41335234,13438
1983,17055,657,6566,110805764,16876
1983,17057,594,6652,94568003,14216
1983,17059,141,1326,27317507,20601
1983,17061,248,1851,21792152,11773
1983,17063,534,8445,177324925,20998
1983,17065,145,688,7908916,11496
1983,17067,383,3346,43349916,12956
1983,17069,67,598,9121654,15254
1983,17071,113,533,5413186,10156
1983,17073,895,8558,112391620,13133
1983,17075,602,6199,80391352,12968
1983,17077,1036,13548,177071210,13070
1983,17079,176,1824,27062516,14837
1983,17081,750,10789,184561431,17106
1983,17083,249,2387,25564410,10710
1983,17085,429,3939,47058960,11947
1983,17087,107,766,8994504,11742
1983,17089,5010,92072,1556429515,16904
1983,17091,1609,23973,368536237,15373
1983,17093,397,9106,203653368,22365
1983,17095,1021,15526,238728113,15376
1983,17097,7458,120952,2229651022,18434
1983,17099,2210,28541,478988994,16782
1983,17101,306,4631,78217779,16890
1983,17103,554,8154,126728841,15542
1983,17105,746,8852,137111193,15489
1983,17107,567,8160,113199581,13872
1983,17109,628,6749,81690879,12104
1983,17111,2538,37473,587255130,15671
1983,17113,1979,38864,654939534,16852
1983,17115,2156,40405,763130480,18887
1983,17117,712,8024,117750608,14675
1983,17119,3900,59566,1077469755,18089
1983,17121,935,11404,181527827,15918
1983,17123,202,2172,32829933,15115
1983,17125,294,2014,28673604,14237
1983,17127,205,2247,44441292,19778
1983,17129,151,1079,15672239,14525
1983,17131,245,1634,20940702,12816
1983,17133,311,2506,33084456,13202
1983,17135,635,6727,95285180,14165
1983,17137,701,10774,156804174,14554
1983,17139,249,1960,23296788,11886
1983,17141,711,9577,159704553,16676
1983,17143,3650,69429,1237717057,17827
1983,17145,360,5319,119451297,22457
1983,17147,270,2201,29329310,13325
1983,17149,330,2683,31186553,11624
1983,17151,40,147,1457557,9915
1983,17153,101,899,8146256,9061
1983,17155,110,1592,35931954,22570
1983,17157,590,8119,127829949,15745
