fips,year,new_fips
26007,1983,26007
26009,1983,26009
26011,1983,26011
26013,1983,26013
26015,1983,26015
26017,1983,26017
26019,1983,26019
26021,1983,26021
26023,1983,26023
26025,1983,26025
26027,1983,26027
26029,1983,26029
26031,1983,26031
26033,1983,26033
26035,1983,26035
26037,1983,26037
26039,1983,26039
26041,1983,26041
26043,1983,26043
26045,1983,26045
26047,1983,26047
26049,1983,26049
26051,1983,26051
26053,1983,26053
26055,1983,26055
26057,1983,26057
26059,1983,26059
26061,1983,26061
26063,1983,26063
26065,1983,26065
26067,1983,26067
26069,1983,26069
26071,1983,26071
26073,1983,26073
26075,1983,26075
26077,1983,26077
26079,1983,26079
26081,1983,26081
26083,1983,26083
26085,1983,26085
26087,1983,26087
26089,1983,26089
26091,1983,26091
26093,1983,26093
26095,1983,26095
26097,1983,26097
26099,1983,26099
26101,1983,26101
26103,1983,26103
26105,1983,26105
26107,1983,26107
26109,1983,26109
26111,1983,26111
26113,1983,26113
26115,1983,26115
26117,1983,26117
26119,1983,26119
26121,1983,26121
26123,1983,26123
26125,1983,26125
26127,1983,26127
26129,1983,26129
26131,1983,26131
26133,1983,26133
26135,1983,26135
26137,1983,26137
26139,1983,26139
26141,1983,26141
26143,1983,26143
26145,1983,26145
26147,1983,26147
26149,1983,26149
26151,1983,26151
26153,1983,26153
26155,1983,26155
26157,1983,26157
26159,1983,26159
26161,1983,26161
26163,1983,26163
26165,1983,26165
27001,1983,27001
27003,1983,27003
27005,1983,27005
27007,1983,27007
27009,1983,27009
27011,1983,27011
27013,1983,27013
27015,1983,27015
27017,1983,27017
27019,1983,27019
27021,1983,27021
27023,1983,27023
27025,1983,27025
27027,1983,27027
27029,1983,27029
27031,1983,27031
27033,1983,27033
27035,1983,27035
27037,1983,27037
27039,1983,27039
27041,1983,27041
27043,1983,27043
27045,1983,27045
27047,1983,27047
27049,1983,27049
27051,1983,27051
27053,1983,27053
27055,1983,27055
27057,1983,27057
27059,1983,27059
27061,1983,27061
27063,1983,27063
27065,1983,27065
27067,1983,27067
27069,1983,27069
27071,1983,27071
27073,1983,27073
27075,1983,27075
27077,1983,27077
27079,1983,27079
27081,1983,27081
27083,1983,27083
27085,1983,27085
27087,1983,27087
27089,1983,27089
27091,1983,27091
27093,1983,27093
27095,1983,27095
27097,1983,27097
27099,1983,27099
27101,1983,27101
27103,1983,27103
27105,1983,27105
27107,1983,27107
27109,1983,27109
27111,1983,27111
27113,1983,27113
27115,1983,27115
27117,1983,27117
27119,1983,27119
27121,1983,27121
27123,1983,27123
27125,1983,27125
27127,1983,27127
27129,1983,27129
27131,1983,27131
27133,1983,27133
27135,1983,27135
27137,1983,27137
27139,1983,27139
27141,1983,27141
27143,1983,27143
27145,1983,27145
27147,1983,27147
27149,1983,27149
27151,1983,27151
27153,1983,27153
27155,1983,27155
27157,1983,27157
27159,1983,27159
27161,1983,27161
27163,1983,27163
27165,1983,27165
27167,1983,27167
27169,1983,27169
27171,1983,27171
27173,1983,27173
28001,1983,28001
28003,1983,28003
28005,1983,28005
28007,1983,28007
28009,1983,28009
28011,1983,28011
28013,1983,28013
28015,1983,28015
28017,1983,28017
28019,1983,28019
28021,1983,28021
28023,1983,28023
28025,1983,28025
28027,1983,28027
28029,1983,28029
28031,1983,28031
28033,1983,28033
28035,1983,28035
28037,1983,28037
28039,1983,28039
28041,1983,28041
28043,1983,28043
28045,1983,28045
28047,1983,28047
28049,1983,28049
28051,1983,28051
28053,1983,28053
28055,1983,28055
28057,1983,28057
28059,1983,28059
28061,1983,28061
28063,1983,28063
28065,1983,28065
28067,1983,28067
28069,1983,28069
28071,1983,28071
28073,1983,28073
28075,1983,28075
28077,1983,28077
28079,1983,28079
28081,1983,28081
28083,1983,28083
28085,1983,28085
28087,1983,28087
28089,1983,28089
28091,1983,28091
28093,1983,28093
28095,1983,28095
28097,1983,28097
28099,1983,28099
28101,1983,28101
28103,1983,28103
28105,1983,28105
28107,1983,28107
28109,1983,28109
28111,1983,28111
28113,1983,28113
28115,1983,28115
28117,1983,28117
28119,1983,28119
28121,1983,28121
28123,1983,28123
28125,1983,28125
28127,1983,28127
28129,1983,28129
28131,1983,28131
28133,1983,28133
28135,1983,28135
28137,1983,28137
28139,1983,28139
28141,1983,28141
28143,1983,28143
28145,1983,28145
28147,1983,28147
28149,1983,28149
28151,1983,28151
28153,1983,28153
28155,1983,28155
28157,1983,28157
28159,1983,28159
28161,1983,28161
28163,1983,28163
29001,1983,29001
29003,1983,29003
29005,1983,29005
29007,1983,29007
29009,1983,29009
29011,1983,29011
29013,1983,29013
29015,1983,29015
29017,1983,29017
29019,1983,29019
29021,1983,29021
29023,1983,29023
29025,1983,29025
29027,1983,29027
29029,1983,29029
29031,1983,29031
29033,1983,29033
29035,1983,29035
29037,1983,29037
29039,1983,29039
29041,1983,29041
29043,1983,29043
29045,1983,29045
29047,1983,29047
29049,1983,29049
29051,1983,29051
29053,1983,29053
29055,1983,29055
29057,1983,29057
29059,1983,29059
29061,1983,29061
29063,1983,29063
29065,1983,29065
29067,1983,29067
29069,1983,29069
29071,1983,29071
29073,1983,29073
29075,1983,29075
29077,1983,29077
29079,1983,29079
29081,1983,29081
29083,1983,29083
29085,1983,29085
29087,1983,29087
29089,1983,29089
29091,1983,29091
29093,1983,29093
29095,1983,29095
29097,1983,29097
29099,1983,29099
29101,1983,29101
29103,1983,29103
29105,1983,29105
29107,1983,29107
29109,1983,29109
29111,1983,29111
29113,1983,29113
